iter	Logloss
0	0.6651022631
1	0.6423600286
2	0.6211415174
3	0.6027518499
4	0.5864620333
5	0.5714243458
6	0.5591151007
7	0.5466363429
8	0.5361113512
9	0.5261277777
10	0.5175602956
11	0.5081058929
12	0.4997039143
13	0.49188399
14	0.4856193803
15	0.4796406055
16	0.4744988436
17	0.4698497507
18	0.4650699081
19	0.4610460477
20	0.4565182162
21	0.452737956
22	0.4492127205
23	0.4460422359
24	0.4432014284
25	0.4406398601
26	0.4378062814
27	0.4350940178
28	0.4329477772
29	0.4313128561
30	0.429608964
31	0.4283476492
32	0.4267201678
33	0.424938155
34	0.4228156564
35	0.4219381324
36	0.420478349
37	0.4191359487
38	0.4179348797
39	0.4167944808
40	0.4162898713
41	0.4146534463
42	0.4137675051
43	0.4127186843
44	0.4124109584
45	0.4117176669
46	0.4111897933
47	0.4102499951
48	0.4094961329
49	0.4081326573
50	0.4074615862
51	0.4064744328
52	0.405741454
53	0.4051745257
54	0.4041917738
55	0.4034571826
56	0.4027330591
57	0.4020963696
58	0.40140275
59	0.4007266998
60	0.4001022569
61	0.3997995007
62	0.3993421407
63	0.3985787746
64	0.3982383751
65	0.3978088045
66	0.3973721015
67	0.3970891941
68	0.3967353259
69	0.3966111264
70	0.3962771903
71	0.3957880495
72	0.3953670834
73	0.3953528157
74	0.3946869123
75	0.3945026908
76	0.394241861
77	0.3941798072
78	0.3937516249
79	0.3936903313
80	0.3932266361
81	0.3930674768
82	0.3928941478
83	0.3924879875
84	0.3920930334
85	0.3920922704
86	0.3918666175
87	0.391441618
88	0.3911418443
89	0.3909829814
90	0.3907612314
91	0.3907602396
92	0.3907391656
93	0.3906687107
94	0.3904334581
95	0.3900918604
96	0.3899356359
97	0.3897775841
98	0.3896290472
99	0.3893573355
100	0.3892142815
101	0.3889318163
102	0.3886193038
103	0.3882932336
104	0.3881721677
105	0.3881465581
106	0.3880889957
107	0.3880270364
108	0.3877585956
109	0.3877550492
110	0.3877421984
111	0.387622438
112	0.3876052249
113	0.387410902
114	0.3871417564
115	0.3870520297
116	0.3868968906
117	0.3868821116
118	0.3864848046
119	0.3863789621
120	0.3862591789
121	0.3860904424
122	0.38591701
123	0.385781641
124	0.3855980996
125	0.3853251515
126	0.3851340604
127	0.3849758234
128	0.3847150427
129	0.3845413707
130	0.3842590689
131	0.3842003172
132	0.3840278533
133	0.3838679143
134	0.383399361
135	0.3830917284
136	0.383064791
137	0.3827866639
138	0.3824021822
139	0.3823131763
140	0.3820378747
141	0.3819605507
142	0.3818906368
143	0.3816731094
144	0.3816005055
145	0.3812590436
146	0.3812293938
147	0.3811130717
148	0.3809735109
149	0.3808076168
