iter	Passed	Remaining
0	22	3321
1	41	3074
2	66	3259
3	89	3267
4	115	3355
5	134	3237
6	155	3177
7	181	3228
8	201	3158
9	224	3140
10	244	3095
11	271	3123
12	295	3118
13	323	3144
14	344	3098
15	367	3080
16	392	3070
17	415	3047
18	445	3069
19	467	3037
20	484	2976
21	509	2966
22	528	2917
23	549	2882
24	563	2816
25	581	2771
26	603	2749
27	627	2734
28	648	2705
29	663	2653
30	682	2619
31	693	2555
32	712	2525
33	732	2499
34	756	2484
35	764	2421
36	783	2394
37	811	2393
38	832	2369
39	860	2366
40	872	2319
41	894	2299
42	915	2277
43	937	2257
44	943	2202
45	965	2183
46	986	2161
47	1009	2144
48	1029	2121
49	1051	2102
50	1072	2082
51	1094	2063
52	1115	2041
53	1136	2019
54	1156	1998
55	1175	1972
56	1198	1955
57	1218	1933
58	1240	1913
59	1262	1893
60	1282	1871
61	1301	1847
62	1321	1824
63	1342	1804
64	1367	1788
65	1392	1772
66	1415	1753
67	1435	1730
68	1457	1711
69	1481	1692
70	1504	1674
71	1526	1654
72	1549	1633
73	1558	1600
74	1578	1578
75	1600	1557
76	1623	1539
77	1640	1514
78	1661	1493
79	1672	1463
80	1694	1443
81	1716	1423
82	1743	1407
83	1765	1387
84	1787	1367
85	1792	1334
86	1814	1313
87	1836	1293
88	1858	1273
89	1880	1253
90	1902	1233
91	1912	1205
92	1924	1179
93	1942	1156
94	1964	1137
95	1987	1118
96	2009	1097
97	2030	1077
98	2047	1054
99	2070	1035
100	2090	1014
101	2113	994
102	2135	974
103	2157	954
104	2177	933
105	2194	910
106	2214	889
107	2235	869
108	2261	850
109	2275	827
110	2293	805
111	2314	785
112	2337	765
113	2359	745
114	2379	724
115	2397	702
116	2420	682
117	2442	662
118	2464	641
119	2485	621
120	2506	600
121	2528	580
122	2548	559
123	2569	538
124	2590	518
125	2611	497
126	2631	476
127	2654	456
128	2678	435
129	2697	415
130	2723	395
131	2746	374
132	2768	353
133	2796	333
134	2823	313
135	2845	292
136	2867	272
137	2894	251
138	2920	231
139	2944	210
140	2972	189
141	2998	168
142	3024	148
143	3049	127
144	3070	105
145	3092	84
146	3114	63
147	3135	42
148	3157	21
149	3179	0
